frame,G908R_febuxostat_rep1,G908R_febuxostat_rep2,G908R_febuxostat_rep3,G908R_natural_rep1,G908R_natural_rep2,G908R_natural_rep3,R702W_febuxostat_rep1,R702W_febuxostat_rep2,R702W_febuxostat_rep3,R702W_natural_rep1,R702W_natural_rep2,R702W_natural_rep3
172,19.2235,19.1948,17.7926,31.2406,21.7452,23.4883,22.5592,16.1225,12.5766,18.8023,20.5387,25.2742
173,18.7082,18.9855,17.7863,30.7946,21.5840,23.2614,20.4058,16.0317,13.4360,19.0651,21.1451,24.7187
174,19.1400,18.8669,17.4205,31.8081,21.7650,23.9627,18.1646,15.7081,13.4171,18.2756,19.6548,24.5772
175,18.3200,18.4885,17.9469,30.7453,20.6287,24.4105,18.5159,15.7823,13.3632,17.8440,19.5954,24.1665
176,18.5239,18.4338,17.4876,31.3677,20.5682,24.7742,20.8130,14.7012,12.9788,17.7756,19.2944,24.0386
177,19.5497,18.5383,17.1948,30.6915,20.9254,24.0634,20.4947,15.4018,12.6733,17.9423,18.9927,23.7816
178,19.5029,17.9542,17.2480,29.8774,19.9821,24.5476,24.4637,15.7743,12.3418,17.4903,19.5260,24.2239
179,19.3245,18.3894,17.0008,29.8633,18.5793,25.3122,20.7758,16.0505,12.9587,16.6380,18.7129,24.3440
180,18.7226,18.9076,17.2474,31.5120,18.4828,25.7455,21.2578,16.0227,12.6535,17.9890,18.2772,24.5116
181,19.1743,20.1271,17.3574,31.1743,18.7250,26.2679,21.4076,15.7276,12.9980,18.2275,18.1790,25.0530
182,18.5852,21.5849,16.7571,31.0982,18.6258,26.9518,18.2058,14.8040,13.1064,17.3340,18.5447,25.2032
183,20.3947,21.7782,16.9769,31.2916,18.0739,26.6992,21.7408,14.8614,13.1480,17.6830,18.6454,21.7229
184,20.6019,21.9508,16.7661,30.9287,18.2869,27.1215,22.2149,15.0538,12.9046,16.9402,19.1352,24.3433
185,20.8602,22.3251,17.3885,30.1075,18.4767,27.0254,22.0124,15.0137,12.4344,16.7760,19.4725,21.6901
186,19.6080,20.1382,17.1864,30.0950,19.4870,27.9450,22.2743,15.4538,12.5662,16.7413,19.7282,24.7255
187,19.6262,22.2837,17.5296,30.5886,19.4648,28.0532,18.6359,15.6847,12.8756,16.9240,19.5824,24.8345
188,20.4457,19.8194,17.0966,30.5289,19.6874,27.8971,18.2774,15.6902,12.5508,17.2539,19.1938,25.2009
189,19.9565,20.0837,17.0592,30.1380,20.2747,28.7516,18.5795,15.2104,12.5758,16.3375,20.3819,25.2247
190,20.1440,19.6382,16.8961,31.4199,20.0746,27.5659,21.5857,16.0615,12.0671,16.4055,19.8034,25.6210
191,20.4447,20.3900,16.5170,30.8658,20.0856,27.9754,21.7332,15.5646,12.4611,16.4847,20.0335,26.0869
192,20.3855,19.6756,15.6532,30.0506,20.0670,28.2922,22.5017,15.1186,12.2634,16.2136,19.9744,25.9243
193,20.0987,21.3225,15.9535,30.7846,20.0603,28.6872,17.9664,15.4208,12.1274,16.3283,19.8242,25.9657
194,20.8759,18.5277,16.5624,29.2827,19.1919,29.7373,20.8601,15.9599,16.0216,16.8438,20.2949,25.3538
195,21.0922,18.9086,16.5883,28.3767,19.4581,27.9363,21.5026,15.9778,16.6862,16.6123,20.0977,25.9118
196,17.2992,21.6602,16.5248,28.4986,19.5557,27.3939,21.5665,15.5628,16.6442,16.8704,20.7908,24.8972
197,17.0927,22.0279,16.2359,29.1346,22.0676,28.0747,20.4425,15.4323,15.9217,16.6992,20.5887,24.5273
198,17.5364,22.7883,16.5428,28.7359,22.8526,28.9207,19.8995,16.1237,16.3174,16.6914,20.6362,22.1526
199,18.6978,22.2944,16.9062,27.4665,19.9490,27.9418,20.6226,15.3419,12.6170,16.8551,20.9562,21.7657
200,18.9562,23.2552,16.3838,27.9741,22.0844,28.0191,21.1334,15.4451,19.3688,17.3311,21.1045,22.0820
201,23.4083,23.2457,16.6444,28.1156,22.1359,27.3415,21.1683,14.8717,20.3636,17.0877,21.1490,20.6868
202,19.6011,23.2345,17.0850,28.2233,19.4337,26.7679,20.7026,15.0859,15.7287,16.9216,21.0841,20.9507
203,22.5112,22.5183,16.5544,28.2289,21.8269,26.5917,17.7848,15.4541,20.1052,16.4177,20.9929,22.0030
204,22.2037,22.4350,16.7404,28.6379,19.8895,26.8376,18.2504,16.0791,16.2436,15.9486,20.4560,26.0793
205,22.9961,22.0960,16.6827,28.5094,19.3126,26.5382,18.2837,15.8951,15.6945,15.9549,20.1099,26.5886
206,23.9237,21.9886,16.0338,28.8785,20.5786,27.4600,18.6916,16.3613,15.9291,15.9751,20.8151,25.7457
207,25.1021,22.1850,16.3014,28.6649,19.8201,26.3251,25.4355,15.5306,19.8743,16.6944,21.6078,25.9919
208,24.4792,21.7556,16.7350,27.3140,19.2944,25.7193,25.2848,16.2510,15.8754,16.6795,21.2833,24.6889
209,23.6503,23.5061,16.1122,26.8019,20.0361,26.5204,25.2642,16.0440,15.9815,16.7087,20.8179,25.1798
210,23.6038,23.0913,16.5152,26.5698,20.2693,26.3915,21.8300,16.2830,15.9906,16.5799,21.0270,24.7907
211,25.6279,22.4922,15.6878,27.0540,19.5815,26.6390,21.8067,16.3563,16.3927,16.7808,21.2906,25.7290
212,23.7284,22.2827,15.8237,26.8127,20.1225,27.3528,26.0545,16.0252,16.1865,17.2195,20.9020,25.8941
