#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
39.4%,1967500,7869.999999841547,-3487907.434849566,568553.6008142941,310.7766796326792,112,2:35:46
39.4%,1970000,7879.9999998413105,-3488241.52001244,569060.6861869026,311.05385720778185,112,2:35:39
39.5%,1972500,7889.999999841074,-3488381.5997509956,567470.0339815413,310.1843919363904,112,2:35:31
39.5%,1975000,7899.9999998408375,-3487985.7288225424,569933.6920488935,311.53105032150205,112,2:35:23
39.5%,1977500,7909.999999840601,-3492639.257299222,571929.7448652189,312.6221113327077,112,2:35:15
39.6%,1980000,7919.999999840365,-3491571.074397899,566936.3661559934,309.89268414558046,112,2:35:08
39.6%,1982500,7929.999999840128,-3488924.8754508607,568545.6438304563,310.77233027139914,112,2:35:00
39.7%,1985000,7939.999999839892,-3488441.16627877,570794.3115293167,312.0014729239973,112,2:34:52
39.8%,1987500,7949.999999839655,-3492451.000431113,569432.2714580084,311.25696916871095,112,2:34:44
39.8%,1990000,7959.999999839419,-3486905.3200598788,568337.1438905256,310.6583622674283,112,2:34:37
39.9%,1992500,7969.999999839182,-3491427.6652956903,567777.1528084269,310.35226594006474,112,2:34:29
39.9%,1995000,7979.999999838946,-3485818.3126626574,570631.8130639159,311.91264975332297,112,2:34:21
40.0%,1997500,7989.999999838709,-3487090.027060002,568962.6149092426,311.0002505364058,112,2:34:13
40.0%,2000000,7999.999999838473,-3488610.6525052097,569314.2442362407,311.19245439291024,112,2:34:06
40.0%,2002500,8009.999999838236,-3490361.9008127004,568255.9886190079,310.61400204214635,112,2:33:58
40.1%,2005000,8019.999999838,-3486347.5157649536,569371.193390507,311.22358332964615,112,2:33:50
40.1%,2007500,8029.999999837763,-3487460.427106997,567299.8902506537,310.0913897925823,112,2:33:43
40.2%,2010000,8039.999999837527,-3487467.881229764,566783.5031643298,309.809127814357,112,2:33:35
