#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
9.2%,462500,1849.9999999839008,-3520020.9128458425,575118.3652949028,311.74676673062316,221,1:58:13
9.3%,465000,1859.9999999836643,-3517440.555004593,573201.3033550318,310.70761045003616,221,1:58:09
9.3%,467500,1869.9999999834279,-3520600.208137462,574612.0280321317,311.4723032217711,221,1:58:05
9.4%,470000,1879.9999999831914,-3517738.1710669417,575669.7788148337,312.04566412695635,221,1:58:01
9.4%,472500,1889.999999982955,-3519762.3726390395,571839.263600217,309.96930766691366,221,1:57:57
9.5%,475000,1899.9999999827185,-3516935.3458779473,573035.7494865959,310.6178708654236,221,1:57:53
9.6%,477500,1909.999999982482,-3518650.0048036557,573427.4433342967,310.8301911423224,221,1:57:49
9.6%,480000,1919.9999999822455,-3515330.516844338,572815.5427357189,310.4985063193741,221,1:57:44
9.7%,482500,1929.999999982009,-3521330.1615072526,576461.8914792212,312.47503410870354,221,1:57:40
9.7%,485000,1939.9999999817726,-3517951.8697912395,574068.2153795396,311.1775259265514,221,1:57:36
9.8%,487500,1949.9999999815361,-3519022.0844305623,573307.6777677515,310.7652714138123,221,1:57:32
9.8%,490000,1959.9999999812997,-3519341.1546801403,575259.7453572556,311.8234027415356,221,1:57:28
9.8%,492500,1969.9999999810632,-3521282.2775698695,573278.2385438053,310.7493136850488,221,1:57:24
9.9%,495000,1979.9999999808267,-3515616.7625763435,573522.8108249386,310.88188573017226,221,1:57:20
9.9%,497500,1989.9999999805902,-3514263.399944134,574502.5156471903,311.4129412991085,221,1:57:15
10.0%,500000,1999.9999999803538,-3518163.2872701753,573412.3786941422,310.8220252531011,221,1:57:12
10.1%,502500,2009.9999999801173,-3516526.567364013,573710.2761583652,310.9835025713244,221,1:57:09
10.1%,505000,2019.9999999798808,-3517961.3806074522,572515.6555525435,310.3359504606493,221,1:57:05
10.2%,507500,2029.9999999796444,-3519256.7757277824,575426.9824818873,311.9140547464573,221,1:57:01
10.2%,510000,2039.999999979408,-3519325.7107205633,574734.3440642382,311.5386054472425,221,1:56:57
10.2%,512500,2049.9999999791717,-3520831.8536238708,573777.4619027653,311.0199210546333,221,1:56:53
10.3%,515000,2059.999999978935,-3517414.6623892672,575787.2771965928,312.10935491274904,221,1:56:49
10.3%,517500,2069.9999999786987,-3518352.0618437324,573191.2286949878,310.7021494129973,221,1:56:45
10.4%,520000,2079.9999999784623,-3515770.9396002665,574444.3750966387,311.38142582378356,221,1:56:40
10.4%,522500,2089.999999978226,-3520260.5874471385,572190.4066148358,310.159647092801,221,1:56:36
10.5%,525000,2099.9999999779893,-3519500.7141063157,574329.9131835761,311.3193809762107,221,1:56:33
10.6%,527500,2109.999999977753,-3516573.5881108716,573770.2548333907,311.0160144143472,221,1:56:29
