compound_id,smiles,cnn_affinity,type,has_smiles,drug_name,final_smiles
2790,SMILES NC(=NCc1ccc(Cl)cc1)SCCCc1cnc[nH]1,4.11481905,Natural,True,,SMILES NC(=NCc1ccc(Cl)cc1)SCCCc1cnc[nH]1
401971,SMILES O=c1[nH][nH]cc2nc3c(c1-2)CCc1ccccc1-3,3.80672383,Natural,True,,SMILES O=c1[nH][nH]cc2nc3c(c1-2)CCc1ccccc1-3
400547,SMILES CC(C)C(NCC(F)(F)F)C(=O)NC(Cc1ccccc1)C(=O)OC(C)(C)C,4.25041819,Natural,True,,SMILES CC(C)C(NCC(F)(F)F)C(=O)NC(Cc1ccccc1)C(=O)OC(C)(C)C
401342,SMILES O=C(COc1ccccc1)N(C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1ccccc1,3.6757462,Natural,True,,SMILES O=C(COc1ccccc1)N(C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1ccccc1
200427,,2.66098118,Natural,False,,
5315,SMILES O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,3.62305832,Natural,True,,SMILES O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
300387,SMILES Nc1ccccc1-c1n[nH]c2ccccc12,3.79679799,Natural,True,,SMILES Nc1ccccc1-c1n[nH]c2ccccc12
300292,SMILES CC1(C)C2(c3ccccc3)C3C=CC3C12c1ccccc1,4.61385536,Natural,True,,SMILES CC1(C)C2(c3ccccc3)C3C=CC3C12c1ccccc1
434,SMILES CNCCCC(=O)c1cccnc1,2.91934323,Natural,True,,SMILES CNCCCC(=O)c1cccnc1
200273,,3.47493744,Natural,False,,
301137,SMILES N#CC12CCC(c3ccccc31)c1ccccc12,3.68275332,Natural,True,,SMILES N#CC12CCC(c3ccccc31)c1ccccc12
201948,SMILES CCN(CC)CCCN(C(=O)c1ccc([N+](=O)[O-])cc1)C(C)c1ccccc1,3.9884789,Natural,True,,SMILES CCN(CC)CCCN(C(=O)c1ccc([N+](=O)[O-])cc1)C(C)c1ccccc1
6891,SMILES CC1(C)SC2CC(=O)N2C1C(=O)O,3.59240842,Natural,True,,SMILES CC1(C)SC2CC(=O)N2C1C(=O)O
6084,SMILES COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,4.33328676,Natural,True,,SMILES COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
400252,SMILES CC1(C)C2=Nc3ccccc3CN2C(=O)C1(O)C(F)(F)F,5.4407258,Natural,True,,SMILES CC1(C)C2=Nc3ccccc3CN2C(=O)C1(O)C(F)(F)F
62,SMILES OC1C=C(Cl)C(Cl)C=C1Cl,2.94084239,Natural,True,,SMILES OC1C=C(Cl)C(Cl)C=C1Cl
200454,,4.42959166,Natural,False,,
200083,,3.69593883,Natural,False,,
201605,SMILES C=CCOc1ccc(NC(C)=O)cc1C(=O)NCCC,3.29221034,Natural,True,,SMILES C=CCOc1ccc(NC(C)=O)cc1C(=O)NCCC
6835,SMILES COc1ccccc1-c1ccccc1,3.2440958,Natural,True,,SMILES COc1ccccc1-c1ccccc1
